Defect_ID,Application_Name,Severity,Detected_on_Date,Closing_Date,Status
429,Citrix,1,04-01-2016,11-08-2016,Closed
439,Citrix,1,10-01-2016,11-08-2016,Closed
476,Citrix,1,15-02-2016,05-08-2016,Closed
486,SAP - Billing,1,23-02-2016,05-08-2016,Closed
487,Citrix,1,28-02-2016,11-08-2016,Closed
496,SAP - Billing,1,06-03-2016,05-08-2016,Closed
499,SAP - Billing,1,09-03-2016,05-08-2016,Closed
438,SAP - Billing,2,10-01-2016,05-08-2016,Closed
453,SAP - Billing,2,22-01-2016,05-08-2016,Closed
455,SAP - Billing,2,24-01-2016,05-08-2016,Closed
457,SAP - Billing,2,25-01-2016,05-08-2016,Closed
459,SAP - Billing,2,26-01-2016,05-08-2016,Closed
477,SAP - Billing,2,15-02-2016,05-08-2016,Closed
482,SAP - Billing,2,21-02-2016,05-08-2016,Closed
483,SAP - Billing,2,22-02-2016,05-08-2016,Closed
490,SAP - Billing,2,03-03-2016,05-08-2016,Closed
493,SAP - Billing,2,04-03-2016,05-08-2016,Closed
505,SAP - Billing,2,14-03-2016,05-08-2016,Closed
507,SAP - Billing,2,15-03-2016,05-08-2016,Closed
514,SAP - Billing,2,18-03-2016,05-08-2016,Closed
518,SAP - Billing,2,22-03-2016,05-08-2016,Closed
525,SAP - Billing,2,30-03-2016,05-08-2016,Closed
441,SAP - FICO,3,13-01-2016,05-08-2016,Closed
448,SAP - FICO,3,20-01-2016,05-08-2016,Closed
449,SAP - FICO,3,22-01-2016,05-08-2016,Closed
451,Citrix,3,22-01-2016,05-08-2016,Closed
454,SAP - FICO,3,22-01-2016,05-08-2016,Closed
456,SAP - FICO,3,24-01-2016,05-08-2016,Closed
458,SAP - FICO,3,25-01-2016,05-08-2016,Closed
465,SAP - FICO,3,29-01-2016,05-08-2016,Closed
467,Citrix,3,02-02-2016,05-08-2016,Closed
469,SAP - FICO,3,05-02-2016,05-08-2016,Closed
470,SAP - FICO,3,07-02-2016,05-08-2016,Closed
471,Citrix,3,08-02-2016,05-08-2016,Closed
474,SAP - FICO,3,11-02-2016,05-08-2016,Closed
481,SAP - FICO,3,21-02-2016,05-08-2016,Closed
489,SAP - FICO,3,02-03-2016,05-08-2016,Closed
494,SAP - FICO,3,05-03-2016,05-08-2016,Closed
497,SAP - FICO,3,07-03-2016,05-08-2016,Closed
498,SAP - FICO,3,07-03-2016,05-08-2016,Closed
506,SAP - FICO,3,15-03-2016,05-08-2016,Closed
509,SAP - FICO,3,16-03-2016,05-08-2016,Closed
510,SAP - FICO,3,16-03-2016,05-08-2016,Closed
512,SAP - FICO,3,17-03-2016,05-08-2016,Closed
515,SAP - FICO,3,18-03-2016,05-08-2016,Closed
516,SAP - FICO,3,19-03-2016,05-08-2016,Closed
430,SAP - FICO,4,04-01-2016,05-08-2016,Closed
431,Citrix,4,05-01-2016,11-08-2016,Closed
435,TXWeb,4,08-01-2016,05-08-2016,Closed
437,TXWeb,4,09-01-2016,05-08-2016,Closed
442,TXWeb,4,13-01-2016,05-08-2016,Closed
443,TXWeb,4,15-01-2016,05-08-2016,Closed
444,TXWeb,4,16-01-2016,05-08-2016,Closed
446,TXWeb,4,18-01-2016,05-08-2016,Closed
447,TXWeb,4,19-01-2016,05-08-2016,Closed
450,TXWeb,4,22-01-2016,05-08-2016,Closed
452,Citrix,4,22-01-2016,05-08-2016,Closed
460,Citrix,4,26-01-2016,11-08-2016,Closed
461,TXWeb,4,27-01-2016,05-08-2016,Closed
463,SAP - FICO,4,28-01-2016,05-08-2016,Closed
466,SAP - FICO,4,31-01-2016,05-08-2016,Closed
468,TXWeb,4,03-02-2016,05-08-2016,Closed
475,TXWeb,4,12-02-2016,05-08-2016,Closed
478,TXWeb,4,16-02-2016,05-08-2016,Closed
480,Citrix,4,18-02-2016,11-08-2016,Closed
484,TXWeb,4,22-02-2016,05-08-2016,Closed
488,TXWeb,4,02-03-2016,05-08-2016,Closed
491,TXWeb,4,04-03-2016,05-08-2016,Closed
501,TXWeb,4,11-03-2016,05-08-2016,Closed
502,TXWeb,4,11-03-2016,05-08-2016,Closed
503,TXWeb,4,12-03-2016,05-08-2016,Closed
504,TXWeb,4,12-03-2016,05-08-2016,Closed
517,TXWeb,4,20-03-2016,05-08-2016,Closed
520,TXWeb,4,23-03-2016,05-08-2016,Closed
522,TXWeb,4,25-03-2016,05-08-2016,Closed
524,TXWeb,4,29-03-2016,05-08-2016,Closed
526,TXWeb,4,31-03-2016,05-08-2016,Closed
492,Citrix,1,04-03-2016,11-08-2016,onHold
495,Citrix,1,06-03-2016,11-08-2016,onHold
511,Citrix,1,17-03-2016,05-08-2016,onHold
513,Citrix,2,18-03-2016,05-08-2016,onHold
445,Citrix,3,17-01-2016,11-08-2016,onHold
479,Citrix,3,16-02-2016,05-08-2016,onHold
523,Citrix,3,25-03-2016,05-08-2016,onHold
473,Citrix,4,10-02-2016,05-08-2016,onHold
427,Citrix,1,03-01-2016,05-08-2016,Open
432,SAP - Billing,1,05-01-2016,05-08-2016,Open
434,SAP - Billing,1,07-01-2016,11-08-2016,Open
436,SAP - Billing,1,09-01-2016,11-08-2016,Open
440,SAP - Billing,1,12-01-2016,05-08-2016,Open
462,SAP - Billing,1,28-01-2016,05-08-2016,Open
472,Citrix,1,08-02-2016,11-08-2016,Open
485,SAP - Billing,1,22-02-2016,05-08-2016,Open
508,SAP - Billing,1,16-03-2016,05-08-2016,Open
519,Citrix,1,23-03-2016,05-08-2016,Open
433,Citrix,3,06-01-2016,05-08-2016,Open
464,SAP - FICO,1,29-01-2016,05-08-2016,Open
428,TXWeb,2,04-01-2016,11-08-2016,Open
521,Citrix,4,24-03-2016,11-08-2016,Open
500,Citrix,2,09-03-2016,05-08-2016,Open
